                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                 1.0808,                0.76271,                 1.0224,                 0.9104,                0.60252,                 0.7681,                0.58968,                 1.2179,                0.86095,                 1.0818,              0.0036145,              0.0036145,              0.0036145
                    131,                  1.079,                0.75547,                 1.0182,                0.91128,                0.60261,                0.76834,                0.59008,                 1.2178,                0.86058,                 1.0818,               0.003565,               0.003565,               0.003565
                    132,                 1.0798,                0.75522,                 1.0184,                0.91049,                0.60332,                0.76853,                0.58999,                 1.2176,                0.86062,                 1.0819,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.0813,                0.75564,                 1.0181,                0.91095,                0.60413,                0.76898,                0.59022,                 1.2175,                0.86068,                 1.0818,               0.003466,               0.003466,               0.003466
                    134,                 1.0809,                0.75513,                 1.0194,                0.91054,                0.60416,                0.76887,                0.59035,                 1.2176,                0.86051,                 1.0819,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.0762,                0.75636,                 1.0178,                0.91139,                0.60422,                0.76907,                0.59067,                 1.2175,                0.86029,                 1.0818,               0.003367,               0.003367,               0.003367
                    136,                 1.0739,                0.75299,                 1.0173,                0.91023,                0.60496,                0.76932,                0.59068,                 1.2175,                0.85988,                 1.0817,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.0756,                 0.7498,                 1.0188,                0.90999,                0.60496,                0.76919,                0.59044,                 1.2174,                0.85928,                 1.0816,               0.003268,               0.003268,               0.003268
                    138,                 1.0753,                0.74733,                 1.0169,                0.90939,                0.60447,                 0.7689,                0.59005,                 1.2174,                0.85909,                 1.0816,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.0785,                0.75088,                 1.0183,                0.90947,                0.60497,                0.76915,                0.59048,                 1.2173,                0.85876,                 1.0816,               0.003169,               0.003169,               0.003169
                    140,                  1.077,                0.74901,                 1.0159,                0.90962,                0.60507,                0.76922,                0.59066,                 1.2173,                 0.8588,                 1.0817,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.0707,                0.74705,                 1.0145,                0.90988,                0.60473,                0.76914,                0.59063,                 1.2176,                0.85827,                 1.0817,                0.00307,                0.00307,                0.00307
                    142,                 1.0721,                0.74827,                 1.0152,                0.91024,                0.60514,                 0.7694,                0.59071,                 1.2177,                0.85825,                 1.0817,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.0712,                0.74335,                  1.015,                0.90944,                0.60496,                 0.7691,                0.59068,                  1.218,                0.85766,                 1.0817,               0.002971,               0.002971,               0.002971
                    144,                 1.0706,                 0.7414,                 1.0128,                0.90931,                0.60521,                0.76925,                0.59066,                 1.2182,                0.85789,                 1.0818,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.0641,                0.74093,                 1.0128,                0.90934,                0.60455,                0.76896,                0.59068,                 1.2183,                0.85754,                 1.0818,               0.002872,               0.002872,               0.002872
                    146,                 1.0675,                0.74238,                 1.0143,                0.90944,                0.60365,                0.76853,                0.59056,                 1.2184,                0.85724,                 1.0817,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.0643,                0.73733,                 1.0147,                0.90959,                0.60387,                0.76871,                0.59081,                 1.2186,                0.85705,                 1.0819,               0.002773,               0.002773,               0.002773
                    148,                 1.0587,                0.73351,                 1.0101,                0.90989,                0.60396,                0.76886,                0.59062,                 1.2187,                0.85699,                 1.0819,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.0641,                0.73607,                 1.0122,                0.91014,                0.60372,                0.76887,                0.59078,                 1.2186,                 0.8567,                 1.0818,               0.002674,               0.002674,               0.002674
                    150,                 1.0613,                 0.7328,                  1.009,                0.91044,                0.60316,                0.76871,                0.59063,                 1.2188,                0.85658,                 1.0819,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.0593,                  0.731,                 1.0091,                0.91092,                0.60318,                0.76884,                0.59108,                  1.219,                0.85674,                 1.0819,               0.002575,               0.002575,               0.002575
